Producto,Precio_kg,n_values,rule
maiz suave seco (mazorca),1.1243562,1,precio_unico
maíz suave seco amarillo - tostado,1.65378769784867,1,precio_unico
"maiz suave seco
(grano seco)",3.30693663027567,1,precio_unico
"maiz suave seco
(mazorca)",1.37789026261486,1,precio_unico
malanga,1.0471945,1,precio_unico
mamey,2.14,1,precio_unico
mandarina,0.572057205720572,1,precio_unico
mandarina (costa),0.5379,1,precio_unico
mandarina (sierra),0.7387,1,precio_unico
mandarina de la costa,0.538479640336023,1,precio_unico
mandarina de la sierra,0.743328277491739,1,precio_unico
mango,3,1,precio_unico
mango de chupar,0.645348484848485,1,precio_unico
mani,1.12211221122112,1,precio_unico
maní,1.925,1,precio_unico
maní en grano,1.90541272978229,1,precio_unico
maní en vaina,1.4465,1,precio_unico
mantequilla,1.6,1,precio_unico
manzana,1.12211221122112,1,precio_unico
manzana importada,1.36333056989307,1,precio_unico
maracuya,2.615,1,precio_unico
maracuyá,2.62,1,precio_unico
marandu,2.62,1,precio_unico
marañon,6.724091,1,precio_unico
marañón,6.72,1,precio_unico
mashua,0.734873333333333,1,precio_unico
melaza,0.35,1,precio_unico
melloco,0.275027502750275,1,precio_unico
melloco amarillo,0.850608516483517,1,precio_unico
melloco blanco,0.530222294540476,1,precio_unico
melloco caramelo,0.273144945963128,1,precio_unico
melloco rojo,0.438246054871055,1,precio_unico
melon,1.135,1,precio_unico
melón,0.67211264050415,1,precio_unico
menbrillo,1.6,1,precio_unico
merkeron,3.07,1,precio_unico
montes y bosques naturales,3,1,precio_unico
mora,1.22314530264525,1,precio_unico
mora de castilla,1.69703208299637,1,precio_unico
mular,7.77,1,precio_unico
nabo,0.169586153846154,1,precio_unico
naranja,0.333307386505339,1,precio_unico
naranjilla,0.715071507150715,1,precio_unico
naranjilla de jugo,1.30101693214193,1,precio_unico
naranjilla hibrida,0.9654,1,precio_unico
naranjilla híbrida,0.847381910069006,1,precio_unico
naranjilla roja palora,0.864026880526881,1,precio_unico
nispero,3.30693,1,precio_unico
nuez ó almendra de palmiste,0.237565476190476,1,precio_unico
oca,0.605060506050605,1,precio_unico
orito,0.225522552255225,1,precio_unico
orquídeas,18.12,1,precio_unico
otras flores permanentes,7.211,1,precio_unico
otras flores transitorias,6.01376483794466,1,precio_unico
otros bananos,0.088008800880088,1,precio_unico
ovino a la canal,6.77966666666667,1,precio_unico
palma africana,1.51815181518152,1,precio_unico
palma de aceite,0.243727608005218,1,precio_unico
palma de aceite - guinensis,0.244957560717137,1,precio_unico
palma de aceite - híbrida,0.223611498467579,1,precio_unico
palmito,0.493463158994523,1,precio_unico
panela en bloque,0.618876404763211,1,precio_unico
panela granulada,0.807504355013696,1,precio_unico
papa,0.572057205720572,1,precio_unico
papa bolona,0.607090909090909,1,precio_unico
papa capiro,0.381008276643991,1,precio_unico
papa chaucha,0.53934476981352,1,precio_unico
"papa china, pelma",0.638063806380638,1,precio_unico
papa fripapa,0.392536928188091,1,precio_unico
papa gabriela,0.397696381396381,1,precio_unico
papa leona blanca o cecilia,0.469118836410503,1,precio_unico
papa nabo,0.375005862,1,precio_unico
papa puzda,0.305842093092093,1,precio_unico
papa rosita,0.275916800791801,1,precio_unico
papa semi uvilla,0.271279276279276,1,precio_unico
papa súper chola,0.44271985479798,1,precio_unico
papa superchola,0.458850356612012,1,precio_unico
papa suprema,0.355208333333333,1,precio_unico
papa única,0.392215592886645,1,precio_unico
papa uvilla o bolona,0.40336531986532,1,precio_unico
papaya,0.605060506050605,1,precio_unico
papaya camila,0.571689028143574,1,precio_unico
papaya hawaiana,0.443936682004864,1,precio_unico
papaya nacional,0.46681545561718,1,precio_unico
pasto azul,0.09,1,precio_unico
pasto elefante,0.09,1,precio_unico
pasto guinea,0.09,1,precio_unico
pasto miel (chilena),0.09,1,precio_unico
pasto mixto,0.09,1,precio_unico
pastos naturales,0.09,1,precio_unico
patos,4.85,1,precio_unico
pavos,5.22,1,precio_unico
pepinillo,0.572057205720572,1,precio_unico
pepinillo pepino,0.419996561790186,1,precio_unico
pepino dulce,0.171428571428571,1,precio_unico
pera,1,1,precio_unico
perejil,2.5,1,precio_unico
pimienta negra (grano fresco),10,1,precio_unico
pimienta negra (grano seco),10,1,precio_unico
pimiento,0.599503707142177,1,precio_unico
piña,0.463772893772894,1,precio_unico
piña md-2,0.463772893772894,1,precio_unico
piña nacional,0.463772893772894,1,precio_unico
pitahaya,3.31284716665747,1,precio_unico
platano,0.792079207920792,1,precio_unico
plátano,0.0869,1,precio_unico
plátano 2,0.29,1,precio_unico
plátano barraganete,3.78465901760603,1,precio_unico
plátano barraganete de exportación,0.297524372609334,1,precio_unico
plátano barraganete maduro,0.386317811697682,1,precio_unico
plátano barraganete verde,0.357768094265285,1,precio_unico
plátano dominico,2.6609320542402,1,precio_unico
plátano dominico maduro,0.306893959575778,1,precio_unico
plátano dominico verde,0.296415372682873,1,precio_unico
plátano verde,1.20920463490168,1,precio_unico
pollitos,1.8596,1,precio_unico
pollo en pie,1.83726224556874,1,precio_unico
pollo faenado con vísceras,2.42778799522451,1,precio_unico
pollo faenado sin vísceras,2.49558935144337,1,precio_unico
pollos y pollas,1.8596,1,precio_unico
porcino a la canal,3.97460185185185,1,precio_unico
postura para aves,0.688333333333333,1,precio_unico
queso fresco mesa,4.59742753650689,1,precio_unico
queso mozzarella,7.03564544962088,1,precio_unico
quinua,1.48663025727465,1,precio_unico
rabano,2.5,1,precio_unico
rábano,0.129683529411765,1,precio_unico
raigras,3.30693,1,precio_unico
ranunculos,0.881848,1,precio_unico
ranúnculos,0.881848,1,precio_unico
remolacha,0.290361005076795,1,precio_unico
romanesco,2.5,1,precio_unico
rosa,5.92,1,precio_unico
sabila,0.69,1,precio_unico
saboya,1.3,1,precio_unico
sacha inchi,0.2,1,precio_unico
sandia,1.5,1,precio_unico
sandía nacional,0.386091811098954,1,precio_unico
sandía peruana,0.366644902319902,1,precio_unico
scabiosas,6.24,1,precio_unico
setaria espléndida,0.13,1,precio_unico
snapdragon,6.24,1,precio_unico
solidago,6.24,1,precio_unico
sorgo,1.15,1,precio_unico
soya,0.5513918275,1,precio_unico
suquini (zuchini),0.605665503025303,1,precio_unico
tabaco,15.35,1,precio_unico
tamarindo,2.89,1,precio_unico
taxo,5,1,precio_unico
té,15.43234,1,precio_unico
tomate de arbol,0.715071507150715,1,precio_unico
tomate de árbol,0.997892672149665,1,precio_unico
tomate riñon,0.605060506050605,1,precio_unico
tomate riñón,0.444073457142857,1,precio_unico
tomate riñón a campo abierto,0.386679584017515,1,precio_unico
tomate riñón de invernadero,0.543433144908778,1,precio_unico
tomatillo,0.9,1,precio_unico
toro en pie - descarte,1.67708333333333,1,precio_unico
toronja,2.9100984,1,precio_unico
torta de soya,0.564200443818162,1,precio_unico
torta palmiste,0.285363095238095,1,precio_unico
trachelium,6.24,1,precio_unico
trebol blanco,0.2645544,1,precio_unico
trebol rojo,0.1,1,precio_unico
trigo,0.661375661375661,1,precio_unico
trigo en grano,0.419349952415211,1,precio_unico
trigo importado,0.509090909090909,1,precio_unico
trigo nacional,0.522863636363636,1,precio_unico
tuna,1.10231,1,precio_unico
uva (vid),1.8194,1,precio_unico
uva negra,1.87108551432464,1,precio_unico
uva rosada-chile,2.54534935652583,1,precio_unico
uva rosada - perú,1.89965188794434,1,precio_unico
uvilla,0.572057205720572,1,precio_unico
vainita,1.322772,1,precio_unico
veronica,7,1,precio_unico
verónica,7,1,precio_unico
vicia forrajera,2.11,1,precio_unico
viveros de permanentes,5,1,precio_unico
viveros transitorios,3,1,precio_unico
yaragua,0.8,1,precio_unico
yogurt,1.5,1,precio_unico
yuca,0.463893215632105,1,precio_unico
yuca amarga,0.275974274087024,1,precio_unico
yuca bolona blanca,0.338845052689671,1,precio_unico
zambo,1.375,1,precio_unico
zanahoria amarilla,0.300304313707299,1,precio_unico
zanahoria blanca,0.385038503850385,1,precio_unico
zapallo,0.247666666666667,1,precio_unico
zapallo (calabaza),0.495049504950495,1,precio_unico
zapote,1.49504950495049,1,precio_unico
